Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3
3,-0.0009131165200715553,-0.005531502739719898,0.4939784255986691,-1.4785486216784274
4,-8.311969948284026e-06,-0.0001972948935396938,0.4963131763121783,-1.4987979911535225
5,-6.417888861754388e-05,-0.0003339679705475412,0.49963896334415736,-0.004744532431438879
6,-1.4320296374615102e-07,-2.0895963462603e-05,0.4995703676158341,2.3181856214879383e-05
7,-5.900378833489833e-06,-3.198577454704853e-05,0.4999783718411797,-0.00041666026472195666
8,-3.163681496135645e-08,-3.0135097938429976e-06,0.49993989715516846,-1.02393223412689e-05
9,-6.622790455362475e-07,-4.845953423144653e-06,0.4999984806683251,-5.611036922076941e-05
10,-5.30760976307385e-09,-5.868583725953615e-07,0.4999908390634179,-3.552054454367762e-06
11,-8.706733904444639e-08,-9.339701415868167e-07,0.499999878355776,-9.732153135539486e-06
