Lambda,Energy0,Energy1,Energy2,Energy3
3,-0.003873948083032112,2.251062074122974,2.692398142922629,4.19835133979183
4,0.0021163746104594793,2.217267842681667,2.720802588485722,2.354412986852216
5,-0.00010225501030352072,2.208706796881415,2.706780388627561,4.099160037307168
6,0.00013446890372913287,2.2089128611005786,2.708917655356202,4.129916600575012
7,-3.2147029005852187e-06,2.207842576593354,2.7077515912927437,4.079404073856525
8,1.0165341713806162e-05,2.2079332494216533,2.7079190343421016,4.084906560158964
9,-9.955507468956096e-08,2.2078212676021107,2.707814853903952,4.0792796779535765
10,9.107188176791574e-07,2.2078352839098794,2.707829937612221,4.079956149082102
11,1.4108701479519177e-09,2.2078201352403526,2.7078195077657434,4.079264115077972
