Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3
3,0.0002706657667762544,0.004614537503061722,0.0013965589329855033,0.022866649123236125
4,7.174856738028604e-05,0.000598343897935585,0.0004963112606485548,0.00021098990314129742
5,1.3303385355845312e-05,0.00014128804701602412,6.996513114267945e-05,0.0030135610824752346
6,5.300119523094381e-06,5.026978121379108e-05,4.148115048114237e-05,0.0010262764055921825
7,8.313442599026267e-07,9.535086789987556e-06,4.965700923648047e-06,0.0002727392037605617
8,4.133668790911698e-07,5.1489442815292575e-06,3.7244747048020917e-06,0.00015695257805134393
9,6.38914316275287e-08,9.470160612409346e-07,4.3154740239458174e-07,3.251005875567618e-05
10,3.638213653183353e-08,6.536433788217826e-07,3.675637556639338e-07,2.2087165120785687e-05
11,5.7357921078832686e-09,1.209869042634374e-07,4.35356997555708e-08,4.271683669811951e-06
