Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3
3,2.7144383644610762e-05,0.0021206457672748587,0.00027602475027742,0.010014703305155115
4,3.466155314829402e-06,9.961306302433778e-05,3.8243084973019906e-05,7.059813814652283e-05
5,3.7783243520944254e-07,1.8641510516771306e-05,3.378150323180843e-06,0.0013884822669728819
6,8.765195902312518e-08,2.022802730933084e-06,1.0534898860287317e-06,0.0002303197663983643
7,7.701052744043324e-09,2.5867689064191596e-07,6.895931128389297e-08,3.6087205453156754e-05
8,2.4224444254536493e-09,4.725752701067784e-08,3.315843511874288e-08,1.1646261130902998e-05
9,2.1071266005785324e-10,5.0159098295658854e-09,1.925893636965088e-09,1.3202846977804777e-06
10,8.031691614728283e-11,1.3929320283491293e-09,1.2273497963911682e-09,5.61539401337865e-07
11,7.23235742668023e-12,1.4486702159582716e-10,6.886893226524924e-11,5.816834292735358e-08
