Penalty,J,Coupling,Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3,AngMomentum4,AngMomentum5,AngMomentum6,AngMomentum7,AngMomentum8,AngMomentum9
5,0.0,1.0,5,-1.852989811455994e-05,-0.00011072461615518028,0.4999017331463799,-0.0006201367812666255,-0.0004072850464459938,-0.0011344362811787825,0.4992766181428282,-0.49984475216294405,-0.004036479391619552,0.49946729731561035
6,0.0,1.0,6,8.061767422047308e-08,-7.619004478706399e-06,0.49987772576281,-1.931423346668851e-05,1.3723535148261648e-05,-0.00015863660206357633,0.4995048869122721,-0.49996441399528896,0.49929437257918213,5.362625624036243e-05
7,0.0,1.0,7,-1.4539707361238139e-06,-9.935182119462112e-06,-6.652668017480964e-05,0.4999951829690494,-2.3552925764491414e-05,-0.0001291161731383803,0.49993752684591947,-0.0003546230240603684,-0.4999716814943355,0.4998543402935394
8,0.0,1.0,8,1.4843443997653992e-08,-1.0891045667423345e-06,-2.769960768766893e-06,0.49998377780611547,-1.8228164268520052e-07,-6.104634952552603e-06,5.981688032918634e-06,0.49993272443153475,-0.4999957717376077,3.970589806468443e-05
100,0.5,0.0,3,0.49999999999999967,0.49999999999999983,0.49999999999999956,0.49999999999999956,0.49999999999999944,0.49999999999999956,0.49999999999999983,0.49999999999999967,0.49999999999999994,0.4999999999999998
100,0.5,0.0,4,0.49999999999999944,0.4999999999999994,0.49999999999999967,0.49999999999999956,0.49999999999999956,0.49999999999999956,0.49999999999999956,0.4999999999999997,0.49999999999999956,0.5000000000000001
100,0.5,0.0,5,0.49999999999999967,0.4999999999999997,0.49999999999999994,0.4999999999999999,0.4999999999999996,0.4999999999999995,0.49999999999999933,0.49999999999999933,0.4999999999999992,0.49999999999999956
100,0.5,0.0,6,0.49999999999999967,0.49999999999999956,0.4999999999999998,0.4999999999999993,0.4999999999999991,0.4999999999999993,0.499999999999999,0.5,0.4999999999999996,0.49999999999999994
100,0.5,0.2,3,0.49999869825357385,0.500000119086724,0.49999935524377487,0.4999984118445398,0.4999984118445402,0.4999984118445409,0.49998214027254045,0.4999821402725392,0.4999821402725395,0.4999892390063687
100,0.5,0.2,4,0.49999950040239916,0.49998879874703117,0.4999933351149444,0.49999408458319355,0.49992530336526775,0.4999999679548212,0.49999996795481766,0.49999996795481805,0.4999916659150321,0.49999166591503486
100,0.5,0.2,5,0.4999999647892148,0.49999919098732715,0.49999981777238006,0.4999999124189326,0.4999726012008726,0.4999932322325201,0.4999977593213057,0.4999937023446344,0.49998219190202803,0.4999999434613891
100,0.5,0.2,6,0.499999988022496,0.4999995897002324,0.49999968083687674,0.49999401988097525,0.4999994199871429,0.4999930718461146,0.499994937821529,0.499995773527554,0.4999292869333307,0.4999615450119822
100,0.5,0.2,7,0.49999999923514166,0.4999999724175885,0.5000000027861884,0.49999917552287065,0.49999993971163126,0.4999981054997848,0.4999997736353699,0.4999999773886042,0.5000033451657183,0.499985963349282
100,0.5,0.2,8,0.499999999573669,0.49999998583995153,0.4999999845901279,0.49999982253027564,0.49999994526018005,0.4999992219515964,0.4999997591497648,0.49999898033907236,0.49999758248390586,0.4999928633651028
100,0.5,0.5,3,0.49999300565979155,0.4999998651537163,0.4999984334984833,0.4999904395224164,0.49999043952241873,0.4999904395224171,0.49995444361741015,0.49995444361740976,0.49995444361740754,0.4999677701663567
100,0.5,0.5,4,0.49999404434744055,0.49994688191801334,0.4999680573577019,0.4999585157837467,0.49980561210223595,0.4999995892539545,0.4999995892539587,0.4999995892539603,0.49995360375777287,0.49995360375776954
100,0.5,0.5,5,0.4999994070938047,0.49999410046518367,0.49999848168155747,0.4999997582630833,0.4998615263613898,0.4999612753158057,0.4999915398230042,0.4999991615947956,0.4999991615948007,0.49999916159480007
100,0.5,0.5,6,0.4999995107987679,0.4999943749497388,0.4999966491076931,0.49997389013256394,0.49999524324032807,0.49996815995439603,0.49996243519258393,0.499968997805594,0.4996737859362723,0.4998684424866287
100,0.5,0.5,7,0.4999999731924097,0.49999961373461205,0.4999998279282873,0.49999567959304553,0.4999999396747238,0.4999821660949332,0.49999926681938195,0.4999995097961572,0.49994363987587165,0.49995143259451597
100,0.5,0.5,8,0.49999994838448036,0.4999994080880172,0.4999996610811441,0.4999968586271019,0.49999906256924836,0.49999169301963664,0.499999133151604,0.49999409766535385,0.49999636099348893,0.49994869174239653
100,0.5,1.0,3,0.49997741886836705,0.49999460381580974,0.4999984995658679,0.4999658708126697,0.49996587081266686,0.499965870812667,0.49990333867263503,0.499903338672632,0.4999033386726323,0.4999196939679073
100,0.5,1.0,4,0.49996828801159743,0.4998277448384967,0.499922088800956,0.4998325296719054,0.4999985713172932,0.49999857131729736,0.49999857131729686,0.49955321975934913,0.4998414660193369,0.49984146601933876
100,0.5,1.0,5,0.4999964130175509,0.49997072727660996,0.4999944887304124,0.49999949068854543,0.49961974532127834,0.499800456758926,0.49998171090658144,0.49999560238399793,0.4999956023840014,0.4999956023840054
100,0.5,1.0,6,0.49999520952998083,0.4999678885665649,0.49997913563452834,0.499909601740513,0.49997893527589,0.4999262347880007,0.4998776176166139,0.49985418668330056,0.4989858291804149,0.4999998890451187
100,0.5,1.0,7,0.49999982264840087,0.49999713905622517,0.49999611606840055,0.49998103615261424,0.5000006987799637,0.49993563918883194,0.4999973319700734,0.5000010153502833,0.49975531183327043,0.499770496932163
100,0.5,1.0,8,0.4999990709179603,0.4999940509011147,0.4999966754824968,0.49997865625463767,0.49999188063061045,0.49997651955532707,0.499993949242901,0.499949903027044,0.4999795395485666,0.4998628420275696
30,0.5,0.2,3,0.499990684316306,0.4999993850546107,0.49999322840378735,-3.609521680452815e-07,0.49998739216836696,0.4999873921683671,0.49998739216836685,-5.247086137602191e-06,0.4998842347417673,0.4998842347417684
40,0.5,0.2,4,0.4999987713651011,0.4999632763198533,0.49997886106430006,0.499981587301573,0.4998221069576052,3.2836560502020986e-08,0.4999999089152993,0.499999908915299,0.4999999089152983,8.989430541407464e-07
50,0.5,0.2,5,0.49999992452276576,0.49999788336850115,0.49999971449193553,0.4999997406944104,0.4999433504986208,0.4999845562705825,0.49999230109207715,0.49998540827313315,0.4999487024925624,-2.7063635684592886e-09
60,0.5,0.2,6,0.49999997903548876,0.4999992887757421,0.49999938995452253,0.49998672985098735,0.49999872356512826,0.49998722359611053,0.49999059922523387,0.4999909198292207,0.49988455935380194,0.4999348840130398
70,0.5,0.2,7,0.49999999891351454,0.49999995585172996,0.5000000071382898,0.4999986554656655,0.4999999078233508,0.49999736745214224,0.49999967927182687,0.4999999891163616,0.5000061523035122,0.4999792519852057
80,0.5,0.2,8,0.4999999994576804,0.49999998209525887,0.49999997945355457,0.49999976435616744,0.49999992755717115,0.4999989725962045,0.49999969787899223,0.49999780416739403,0.4999968759148171,0.49999080423014286
30,0.5,1.0,3,0.49984158001578266,0.4999298454193658,-2.0902921060557035e-05,0.4999723166463826,0.49974519372158427,0.49974519372158444,0.4997451937215846,-4.9024927611533244e-05,-0.0004315264930636545,0.4993061080143945
40,0.5,1.0,4,0.49992214329979234,0.499574720867543,0.49976381468192105,0.49955359084308776,4.412566624777252e-06,0.49999627386067813,0.49999627386068496,0.49999627386067946,3.7744977864685665e-05,0.4988327196885354
50,0.5,1.0,5,0.4999927767349901,0.499941098754109,0.4999904628674997,0.4999999053215304,0.4992303652063431,0.4995487132550615,0.499949294239984,-8.356214113739609e-07,0.4999887836953414,0.4999887836953343
60,0.5,1.0,6,0.4999915997203437,0.4999504884747513,0.4999679607399206,0.4998584761346463,0.49995859310897545,0.49987212805989506,0.4997932803279927,0.4997657029799424,0.49845799291675447,8.161171743732251e-07
70,0.5,1.0,7,0.49999981460252724,0.49999599115004484,0.4999947003081697,0.49997505100412554,0.5000015509977884,0.4999113681950859,0.49999569930520055,0.5000016099888507,0.4996853675543969,0.49967190279033796
80,0.5,1.0,8,0.4999988143277192,0.4999927642668329,0.4999960507177017,0.4999748761273593,0.4999897962343042,0.4999691921077445,0.49999546706989495,0.49993560133841153,0.49997347759849886,0.4998346541760018
