Penalty,Coupling,Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3,GaugeViolation4,GaugeViolation5,GaugeViolation6,GaugeViolation7,GaugeViolation8,GaugeViolation9,GaugeViolation10,GaugeViolation11,GaugeViolation12,GaugeViolation13,GaugeViolation14,GaugeViolation15,GaugeViolation16,GaugeViolation17,GaugeViolation18,GaugeViolation19
0,0.2,3,0.00022429383068250827,2.0060968531679535,2.0060968531679553,2.0060968531679575,2.0060968531679544,2.006096853167957,2.006096853167954,0.0011813746710691254,6.003544979218211,6.003544979218216,6.000094183980855,6.000094183980857,0.04463404111728586,0.014319508160418324,6.005928234958807,6.005928234958815,6.005928234958812,6.0037158015285605,6.003715801528561,6.003715801528557
0,0.2,5,4.511062481382582e-06,2.000097862420142,2.0000978624201635,2.0000978624201493,2.0000978624201555,2.0000978624201697,2.000097862420143,0.0013688682691006676,0.0004226458427325415,6.000562556733586,6.000562556733587,6.000356194157696,6.000356194157646,6.0003561941576935,6.000353752756183,6.000353752756181,6.000296849770088,6.000296849770068,6.000296849770129,5.999147851768127
0,0.2,7,8.765031341876155e-08,2.0000018870093927,2.0000018870094074,2.000001887009395,2.0000018870093763,2.0000018870093696,2.0000018870093816,2.509025255301533e-05,7.064401444784345e-06,6.000013991887391,6.000013991887336,6.000006450458749,6.00000645045882,6.0000064504588835,6.000007254218611,6.000007254218574,6.000005087743579,6.000005087743533,6.00000508774339,5.9999853042852305
3,0.2,3,1.3275420485665709e-06,2.890486778898132e-05,0.00022968099617126558,3.4249093127738916e-05,1.1409649158094031e-05,0.00010640219308788889,3.923634905825558e-05,0.0005051124262354351,0.00011203342368743595,6.776890761555208e-05,0.00041395303282704,0.00021592148639799571,0.0006840680711881831,1.998869443273076,1.9988694432730785,1.9988694432730776,1.9988694432730767,1.9988694432730776,1.9988694432730771,9.095046199963766e-05
5,0.2,5,5.7402689796253995e-08,5.494227789095258e-06,2.3730022311249106e-05,1.2966897802329707e-06,7.096025464227013e-05,5.0015700348786913e-05,0.0009657142617946804,3.38307283730064e-05,0.00032145622335070096,0.00011155438430220191,0.00025187557232118245,0.000262529666013318,0.00025672072954797926,0.00021563413952000696,0.000648454972377971,0.0011831163614597611,0.011323931985988132,0.00042697315385466483,0.00034628358990206883,0.0001772607029565887
7,0.2,7,1.5447124680749162e-09,2.3337174183515148e-07,4.782974027870836e-07,4.15753892431737e-08,3.5849046597047926e-06,3.6907764856010596e-05,6.275973287952072e-06,3.83751743260097e-06,1.063014011306785e-05,5.924474289487488e-06,3.671665440173453e-05,0.0003062028634633139,4.8303284604125275e-05,6.320233996579958e-05,1.3824759457714168e-05,0.0004713823307090502,0.0004062134637225099,0.00019330576386773814,0.0005499334073569852,7.074581469957991e-05
