Penalty,J,Coupling,Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3,GaugeViolation4,GaugeViolation5,GaugeViolation6,GaugeViolation7,GaugeViolation8,GaugeViolation9
3,0.0,1.0,3,0.0012030104692790995,0.007539522154920711,0.005007596423143692,0.03598707633238136,0.012478332088584327,0.009436848252726443,0.01930819880729372,0.02622059614114109,0.01426862215655224,2.000478229012719
4,0.0,1.0,4,0.0003679797344338573,0.0026591813567655533,0.0025879113021513417,0.0017510999460054434,0.013808195632343279,0.004084616562180594,0.03472882004768905,0.017158934106896936,0.018810420531520926,0.028814249716436112
5,0.0,1.0,5,0.0001285488415598336,0.0008473197651642597,0.0006385027531885344,0.005312699278218318,0.0025390644200915732,0.008644978753473228,0.003113432515079032,0.002535560295086111,0.021142275683442287,0.005615950672716231
6,0.0,1.0,6,6.07953922704621e-05,0.00043886907691645296,0.00041822963421669636,0.002518125048539331,0.00032261593956174395,0.007783326113955669,0.0017744560751760854,0.0007378501816133951,0.0036501895732131166,0.004233900552251703
7,0.0,1.0,7,1.600387598888429e-05,0.0001444496017669467,0.0010507265130313757,9.140748663851978e-05,0.0002403289821085277,0.0022287213370558528,0.0005370282459654811,0.003828912808845902,0.00045330343111398474,0.0012845756428282765
8,0.0,1.0,8,9.755758939678014e-06,0.00010330907425682769,0.0007325058195861053,7.31190389965854e-05,8.079454778067e-05,0.0020179201659353504,0.0015480900067697684,0.00033032059621915315,0.0001010208419642841,0.0008668592964535365
100,0.5,0.0,3,4.669759425652501e-17,-6.658148702465823e-16,3.0987599032866563e-17,1.9999999999999998,1.9999999999999996,2.0,2.0000000000000004,1.9999999999999982,1.9999999999999996,1.9999999999999993
100,0.5,0.0,4,-1.0134748868189273e-16,-6.585614629131536e-16,-7.519453518712867e-16,-2.5651155379488324e-16,-1.1221429702071943e-15,2.0,2.0000000000000004,2.0000000000000004,1.999999999999999,2.0
100,0.5,0.0,5,-1.369868518606275e-18,-4.233701101637415e-16,-4.214080585996889e-16,-9.479285956372634e-16,-7.720761907229185e-16,-4.7064012390697096e-17,-5.507118650087093e-16,-4.2068169538935557e-16,1.3100139860916457e-16,2.0
100,0.5,0.0,6,8.105842257536744e-17,-6.344823658378456e-16,-6.946233342073772e-16,-2.2173681506206655e-16,-1.4963621994222175e-16,-1.1775125991144756e-16,-5.304615400730635e-16,-3.109465245754566e-16,2.8225911565711146e-16,-2.0092468128396304e-16
3,0.5,0.2,3,2.2494276069450786e-05,0.00019538613997783114,0.0019878836827156863,0.0012055692528089178,0.007031629053999259,0.002564865328802546,0.000741308605149568,0.0024598430653573707,0.0010027551133882928,0.004121910965435768
4,0.5,0.2,4,2.557986005811061e-06,3.548937276772775e-05,7.539472900922056e-05,0.0015158808016164974,0.0010466469711389835,2.91235810752867e-05,0.0025633453152202135,0.0006769669295711259,0.0014161959510213128,0.006176231301759797
5,0.5,0.2,5,3.490261943990407e-07,3.2200361965760367e-06,1.7245062443856575e-05,0.00018348135435838705,9.501004231307764e-05,0.001282929245566235,5.0140168300081775e-05,0.00071034218818177,8.483718073735163e-05,0.0027104088605639804
6,0.5,0.2,6,7.440991709505715e-08,1.0771887121810793e-06,1.7670939311855293e-06,3.289402163792459e-05,4.656899280841385e-05,0.00019478170976224474,8.233720558842996e-06,0.00011834612586451951,0.0016007850439860515,0.00011103819970971566
7,0.5,0.2,7,7.790636269600763e-09,7.413559167334325e-08,2.564656677481262e-07,6.030874501151462e-06,4.311570988156957e-06,3.5179710903466245e-05,2.1396500202091227e-06,1.6061713680567274e-05,0.00017425336469779605,1.4306491139221518e-05
8,0.5,0.2,8,2.3817183340954003e-09,3.718227177243346e-08,4.4037207320207785e-08,1.028026425014909e-06,1.9558982565085546e-06,1.1191838471973725e-05,6.010373946594416e-07,8.412728830423409e-06,3.2705746008255305e-05,5.351101744387714e-06
3,0.5,0.5,3,0.0002342218842929703,0.0010987295755655613,0.0040969238551337986,0.017070991669575507,0.00708191097622368,0.0051100278536772,0.00314159672242675,0.007229535026565543,0.0058049156700822795,0.00831697206129187
4,0.5,0.5,4,5.4251924204953723e-05,0.00044804722256326776,0.0004954096128449426,0.004854899405349868,0.0045096746285605395,0.000373394813158008,0.014229098056038156,0.0037378370574612445,0.005239558241794956,0.0008773330436408436
5,0.5,0.5,5,1.2698254187200486e-05,7.286131680682104e-05,0.00012950029786299867,0.000861334376015645,0.0028409591088802357,0.001166783710594117,0.0005733728051337901,0.0029570970118819985,0.0007775366115037044,0.010933124176155577
6,0.5,0.5,6,4.774012652252715e-06,4.283586171453382e-05,4.1392822498950295e-05,0.0003522803789140359,0.0005570416681959931,0.000904979580489926,9.523404464650769e-05,0.0015858225913155575,0.004018156164310612,0.0007324115263243482
7,0.5,0.5,7,8.588047490189469e-07,5.609570428440096e-06,8.931234224958625e-06,8.502869722675955e-05,0.00015274304006177358,0.000267202974530471,6.171735684625527e-05,0.0006356211818122547,0.0003484109546066522,0.00011673440056574843
8,0.5,0.5,8,4.269803236467685e-07,4.217594384970902e-06,4.906535327515894e-06,3.596805137665844e-05,6.0043115979521045e-05,0.0001559223782937705,0.0002584072695768395,2.4295598028592833e-05,0.0002660973632117338,6.46601604586559e-05
3,0.5,1.0,3,0.0011260432932771202,0.0042658863601273,0.006933290571516228,0.031733798863147936,0.011751374981288622,0.009539474368510896,0.024867059288609692,1.9928431217543003,1.9928431217543048,1.9928431217543043
4,0.5,1.0,4,0.00037598699006054757,0.00230563228156704,0.002627376398388717,0.011894143745972837,0.0017826195129774347,0.014917657785582,0.03402868517495192,0.004399666567197063,0.012435651802657944,0.019481334533290165
5,0.5,1.0,5,0.0001264577611402142,0.000626676350522032,0.0008241757820574531,0.0028402157525273856,0.0052016022181223896,0.005543203949388942,0.0024227062416676223,0.00827957282710964,0.00357712821898821,0.019966687186523547
6,0.5,1.0,6,6.151966312788162e-05,0.00039265827939833264,0.00044401602670441877,0.0016573371798857285,0.0025462207400149765,0.0034101932138229474,0.00033318565945553646,0.007833156513146465,0.00785056795624439,0.0027448799436121628
7,0.5,1.0,7,1.591011476340177e-05,9.088952743130833e-05,0.0001438664853637887,0.0005227111495695603,0.0010467141514269097,0.0012584294281787298,0.0018230616750745021,0.00023405117872439237,0.0022261500936080285,0.0037321866680318162
8,0.5,1.0,8,9.823990197313915e-06,7.030237392735043e-05,0.00010400330019075131,0.0003170701308826265,0.0006041012572535211,0.0007392156634953545,0.001056014102212266,8.160118865585752e-05,0.002039059741265348,0.000581494666235376
