Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3
3,-0.0001823725109718994,-0.0037062396280537198,0.4985196789916779,-0.020374185256185492
4,-1.2487447644939589e-06,-1.15405871690588e-05,0.49920512394805777,-1.4997626479424995
5,-7.305552769677965e-06,-8.228989047202055e-05,0.49994245808446425,-0.0031430076095705856
6,-1.5300849627310133e-08,-1.1803651933614292e-06,0.4999479307297051,3.394833892069223e-05
7,-3.715461631086867e-07,-3.4482518263868967e-06,0.4999979208608311,-0.00016330284662547786
8,-5.997466045715337e-10,-1.1337170681083306e-07,0.4999960028708824,5.790475173100241e-07
9,-2.3729348971012212e-08,-2.225197809123354e-07,0.49999991308672087,-1.2674973198183119e-05
10,-7.670722884921848e-11,-1.4217273801586124e-08,0.49999965570886296,-1.6467880305541352e-07
11,-1.8195993109937395e-09,-2.2883420812901538e-08,0.4999999959315654,-1.2174422282002325e-06
