Lambda,Energy
 3,3.66904008
 4,3.89547837
 5,3.83339247
 6,3.85950613
 7,3.85081424
 8,3.85457565
 9,3.85316716
10,3.85380864
11,3.85354647
12,3.85367079
13,3.85361668
14,3.85364330
