Lambda,GaugeViolation
 3,0.060510041162
 4,0.045924094777
 5,0.011493185261
 6,0.006352557866
 7,0.001788911061
 8,0.001011302266
 9,0.000315815031
10,0.000185582780
11,0.000062685672
12,0.000037949122
13,0.000013712553
14,0.000008471522
