Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3
3,0.0012176787523405137,0.00865367703089307,0.004745764158826662,0.0058267886619808576
4,0.00048386448855011207,0.0031789577398673792,0.002527762006653114,0.0011284758507231615
5,0.0001291986473640823,0.0009062995781381216,0.000578900681078234,0.005547349288475811
6,6.563523658726267e-05,0.0005296023248431351,0.0003825427002328832,0.0027887775319190462
7,1.5273650315516106e-05,0.00015514216779462635,8.055244247432431e-05,0.001103761268090172
8,9.393688630647686e-06,0.00010548269397669798,6.292739478858987e-05,0.0007450563057220058
9,2.115537374315485e-06,3.0407736573757474e-05,1.2898841347150358e-05,0.0002499635039453828
10,1.4442268404106198e-06,2.3580261455171594e-05,1.0978832464792985e-05,0.00018903726395309443
11,3.268927764092141e-07,6.599084062545825e-06,2.259263223855517e-06,6.013741375315786e-05
