Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3
3,-0.0037448144412167155,-0.0078358563386144,0.47682887515091404,-1.4368253357580674
4,-1.73738105598981e-05,-0.0011884947433952959,0.4870680961970475,-1.4948790656418285
5,-0.00038129776079605794,-0.0013233117587198233,0.4981812962441091,-1.4958937359090168
6,-2.5105858020476576e-06,-0.0001089209390596867,0.49780399708110046,-1.4990516344060625
7,-5.656375928905095e-05,-0.00019476037450765643,0.4998065327484481,-0.0009482669163896147
8,-7.148954068293688e-07,-3.028609318016768e-05,0.4995236372511225,-6.204510550929402e-05
9,-9.76267286410151e-06,-4.9029383111354775e-05,0.4999757839724986,-0.00016584851548554806
10,-1.7568634205082232e-07,-8.455024623740092e-06,0.4998861403843811,-2.556868209569302e-05
11,-1.946921606911746e-06,-1.4085858526082416e-05,0.49999621437134123,-4.497521183277469e-05
