Lambda,GaugeViolation
 3,0.000224293831
 4,0.000184221658
 5,0.000004511062
 6,0.000002506324
 7,0.000000087650
 8,0.000000049542
 9,0.000000002327
10,0.000000001312
11,0.000000000077
12,0.000000000044
13,0.000000000003
14,0.000000000002
