Lambda,Energy0,Energy1,Energy2,Energy3
3,-0.019907205965141866,2.406500187695134,2.7256513007166476,2.2784019363937316
4,0.013418689187332813,2.321873118225449,2.8507644431286017,2.297597123488472
5,-0.0009091259577203737,2.2902177176860112,2.781221756616625,4.234071422881548
6,0.001628985777826778,2.2992500981716653,2.7975361758969375,4.273564667258055
7,-5.150509368757444e-05,2.2877987617551727,2.7868540014326797,4.1811768812686205
8,0.00023142898686755897,2.290036735674384,2.789181052172942,4.199680247450699
9,-2.2104158137151657e-06,2.287581574309139,2.787432646746821,4.177238328688963
10,3.6818848161163216e-05,2.2881096306749136,2.7878043413099602,4.181814336215061
11,2.5974836396097177e-07,2.2875267416573513,2.78749516564858,4.176425020700269
