Lambda,Energy0,Energy1,Energy2,Energy3
3,-0.0849369737888749,2.5783969857566897,2.672868545585897,2.1108472402004135
4,0.06044620568650174,2.506278722451991,3.0753581895872864,2.2770384308791405
5,-0.005803433350218707,2.359447720304184,2.82586223286223,2.1928155023097067
6,0.012489096583666584,2.4234926605502074,2.9065041429490015,2.2160348795138374
7,-0.0005049752663599363,2.353429992354864,2.845845998519986,4.3533166339846305
8,0.0028958375339372677,2.3742375044579243,2.864237994817855,4.3965508026812765
9,-1.8843847921946096e-05,2.3505895086602897,2.8483433938247553,4.327377217042625
10,0.0007241878979409015,2.3577262189441326,2.852976330900667,4.345925024551002
11,1.248044130696803e-05,2.3493601996478026,2.848578614127685,4.318874884434804
