Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3
3,-0.044894227154712155,0.2315041856535228,-0.024510472761456147,-0.4136444602792049
4,6.408205880043513e-05,-0.025359501761503384,-1.4428065481488757,0.3570455210779054
5,-0.009576080393350632,-0.015890915410682212,0.45026874427713126,-1.4231934257624106
6,-0.00012546603044885472,-0.0008991256626660727,0.4672417052217494,-1.4821261321061652
7,-0.002490148168386243,-0.004268102163649008,0.4888896893122751,-1.48361481873121
8,-9.26649568133577e-05,-0.0005652732128255069,0.4889492217225917,-1.4930603285554689
9,-0.0008112613674469926,-0.001392452001011731,0.4968815432970669,-1.495642780801138
10,-3.9835576837024504e-05,-0.00034114114436825215,0.49543599388943294,-1.496949039480918
11,-0.0002931540107226664,-0.0006235067021694227,0.49897448376692405,-1.498583177116085
