Lambda,Energy
 3,4.07154089
 4,5.76081887
 5,4.89578638
 6,5.45395700
 7,5.19422756
 8,5.36503517
 9,5.28001751
10,5.33550134
11,5.30574617
12,5.32532534
13,5.31426720
14,5.32162552
