Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3
3,-1.6801482864113257e-05,-0.0019248109126262006,0.49976636242961653,-0.008937254241846755
4,-4.045844725421023e-08,1.7797328856727865e-06,0.4999272930241842,-0.49999670206063684
5,-2.257390477421501e-07,-1.5435799960499376e-05,0.49999631385383037,-0.001682773216054007
6,-3.420350051914442e-10,5.6842940704494047e-08,0.49999850375463706,8.585789583833237e-06
7,-4.147473791645252e-09,-1.9239249902376285e-07,0.49999993882571914,-3.1109124851303e-05
8,-2.494196004603375e-12,8.242050223253216e-10,0.4999999593012509,2.175850558596939e-07
9,-9.944892733166058e-11,-3.041186300291014e-09,0.4999999987880309,-8.511095669006257e-07
10,-9.034861665781354e-14,6.752983281127688e-12,0.4999999986711663,3.9361118419635075e-09
11,-2.9922846047412293e-12,-6.442802842513318e-11,0.4999999999708366,-2.9322851047960454e-08
