Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3
3,0.004391570468068729,0.016827065235678923,0.01534231537812269,0.013316295788370196
4,0.0022110741472798467,0.013883104233403115,0.009744512559390232,0.004313123452631398
5,0.000837166225139012,0.004957048303466953,0.0032614464721477925,0.0020043163259289964
6,0.0004874637315882053,0.0029639402213275314,0.0021697422432133276,0.0009466753298719596
7,0.00016184329057290195,0.0013245236447220175,0.0007381185785121334,0.004151308074530637
8,0.00011026424482271103,0.0009309692889279494,0.0005573235817405949,0.0027458442844882883
9,3.5041176923107626e-05,0.0004001766809310091,0.0001849992193758407,0.0013755396246753157
10,2.6392551396549883e-05,0.00031013896453444494,0.00015117307132025618,0.0010216708568132156
11,8.241117009520721e-06,0.0001271344034243087,4.9189342821972524e-05,0.0005055151537487026
