Lambda,GaugeViolation
 3,0.003688212672
 4,0.002400096378
 5,0.000178633922
 6,0.000101373665
 7,0.000009947253
 8,0.000005629387
 9,0.000000683314
10,0.000000389452
11,0.000000055646
12,0.000000032055
13,0.000000005217
14,0.000000003031
