Lambda,GaugeViolation
 3,0.018964932725
 4,0.011889840764
 5,0.001732981158
 6,0.000986724060
 7,0.000176500569
 8,0.000099441023
 9,0.000020545750
10,0.000011932039
11,0.000002785207
12,0.000001643162
13,0.000000421954
14,0.000000252683
