Lambda,Energy0,Energy1,Energy2,Energy3
3,-0.0003484351998878006,2.116301176590095,2.6128341751949518,4.076102248955132
4,0.00011412621541726119,2.1175817267598247,2.6138068263672443,3.911809081697167
5,-3.2167591915696218e-06,2.1129699010067453,2.6128445623495278,4.031510011552714
6,2.4298329187159535e-06,2.1129495344158054,2.6129011028289577,4.035738426753182
7,-3.638348816243646e-08,2.11287468425276,2.6128721829234203,4.020877102316859
8,6.344727365307517e-08,2.1128745182034994,2.6128739902800455,4.021373130833146
9,-4.6425690655746505e-10,2.112873120904655,2.6128730574109302,4.020863087541611
10,2.098700056413381e-09,2.1128731241868293,2.6128731220206842,4.020883477095994
11,-1.930142668951684e-12,2.112873088448256,2.612873086511047,4.020862981359255
